2140 1 0.0 东东南西西西西 有将 0.0
2141 0 0.0 东东南西西西西北 无将 0.0
2141 1 0.0 东东南西西西西北 有将 0.0
2142 0 0.0 东东南西西西西北北 无将 0.0
2142 1 0.0 东东南西西西西北北 有将 0.0
2143 0 0.0 东东南西西西西北北北 无将 0.0
2143 1 0.0 东东南西西西西北北北 有将 0.0
1120 0 0.0031796502384737677 东南西西 无将 0.0031796502384737677
1120 1 0.012170385395537525 东南西西 有将 0.012170385395537525
2144 0 0.0 东东南西西西西北北北北 无将 0.0
2144 1 0.0 东东南西西西西北北北北 有将 0.0
1121 0 0.0 东南西西北 无将 0.0
1121 1 0.0 东南西西北 有将 0.0
1122 0 0.0 东南西西北北 无将 0.0
1122 1 0.01680672268907563 东南西西北北 有将 0.01680672268907563
1123 0 0.006191950464396284 东南西西北北北 无将 0.006191950464396284
1123 1 0.018575851393188854 东南西西北北北 有将 0.018575851393188854
100 0 0.014165666266506602 南 无将 0.014165666266506602
100 1 0.04325259515570933 南 有将 0.04325259515570933
1124 0 0.0 东南西西北北北北 无将 0.0
1124 1 0.0 东南西西北北北北 有将 0.0
101 0 0.0035650623885918 南北 无将 0.0035650623885918
101 1 0.011764705882352941 南北 有将 0.011764705882352941
102 0 0.006191950464396284 南北北 无将 0.006191950464396284
102 1 0.03529411764705882 南北北 有将 0.03529411764705882
103 0 0.016993464052287584 南北北北 无将 0.016993464052287584
103 1 0.044117647058823525 南北北北 有将 0.044117647058823525
104 0 0.0 南北北北北 无将 0.0
104 1 0.0 南北北北北 有将 0.0
4200 0 0.0 东东东东南南 无将 0.0
4200 1 0.0 东东东东南南 有将 0.0
4201 0 0.0 东东东东南南北 无将 0.0
4201 1 0.0 东东东东南南北 有将 0.0
1130 0 0.005115089514066496 东南西西西 无将 0.005115089514066496
1130 1 0.014705882352941176 东南西西西 有将 0.014705882352941176
4202 0 0.0 东东东东南南北北 无将 0.0
4202 1 0.0 东东东东南南北北 有将 0.0
1131 0 0.0 东南西西西北 无将 0.0
1131 1 0.014705882352941176 东南西西西北 有将 0.014705882352941176
4203 0 0.0 东东东东南南北北北 无将 0.0
4203 1 0.0 东东东东南南北北北 有将 0.0
1132 0 0.006191950464396284 东南西西西北北 无将 0.006191950464396284
1132 1 0.018575851393188854 东南西西西北北 有将 0.018575851393188854
4204 0 0.0 东东东东南南北北北北 无将 0.0
4204 1 0.0 东东东东南南北北北北 有将 0.0
1133 0 0.008403361344537815 东南西西西北北北 无将 0.008403361344537815
1133 1 0.0196078431372549 东南西西西北北北 有将 0.0196078431372549
110 0 0.0035650623885918 南西 无将 0.0035650623885918
110 1 0.011764705882352941 南西 有将 0.011764705882352941
